Location,Latitude,Longitude,Position,Season,Cd,Cr,Hg,Ni,Pb,Zn,pH,OM,EC,CEC,Clay,Silt,Sand
SL15,8.700277777777776,-75.94611111111111,deep,rainy,0.57,45.9,0.49,24,5.33,31.1,8.1,6.06,1.74,35,72.9,18.1,9
SL16,8.709444444444443,-75.93916666666667,deep,rainy,0.88,26.1,0.69,32.3,2.04,37,8,5.85,1.62,41,73.3,19.7,7
SL17,8.721388888888889,-75.9413888888889,deep,rainy,0.54,31.3,1.84,46.3,5.2,39.8,7.9,5.87,2.23,32,77.5,16.5,6
SL18,8.721666666666668,-75.93138888888889,deep,rainy,0.62,47.7,2.46,38.3,3.31,40.5,8.2,6.64,2.31,44,73.4,17.6,9
SL19,8.725555555555555,-75.92222222222223,deep,rainy,0.69,32.5,2.95,34.5,5.87,36.7,8.3,5.91,2.3,43,71.4,19.6,9
SL20,8.736944444444443,-75.92083333333333,deep,rainy,1.45,26.1,2.44,43.8,6.24,39.7,8.3,5.82,2.74,41,73.3,18.7,8
SL21,8.73861111111111,-75.91000000000001,deep,rainy,0.86,29.6,1.6,36.4,3.04,33.4,7.8,5.85,2.58,32,76,17,7
SL22,8.747777777777777,-75.90194444444445,deep,rainy,0.64,34.9,0.76,36.5,7,35.7,7.5,6.14,2.06,38,73.7,19.3,7
SL23,8.747499999999999,-75.89194444444445,deep,rainy,0.38,22.2,1.2,48.6,6.2,40.6,8.2,6.5,1.91,40,74.5,18.5,7
SL24,8.760833333333334,-75.88472222222222,deep,rainy,0.72,21.4,0.49,36,5.14,37.4,7.4,6.56,2.83,36,74,18,8
SL25,8.7675,-75.87333333333332,deep,rainy,1.24,23.7,2.58,32.1,3.27,31.2,7.6,5.97,1.88,39,75.1,17.9,7
